Timestamp,Open,High,Low,Close,Volume
20080101 00:00:00:000,0.73426,0.73645,0.73309,0.7356,471848.402785003
20080102 00:00:00:000,0.73565,0.74475,0.7349,0.7425,3541730.11903878
20080103 00:00:00:000,0.7425,0.74835,0.74135,0.74665,2815573.98054383
20080104 00:00:00:000,0.74665,0.74915,0.74245,0.74655,2168687.85722932
20080106 00:00:00:000,0.7468,0.748,0.7463,0.7479,45376.2000116408
20080107 00:00:00:000,0.74785,0.7481,0.74405,0.74645,1077927.65042026
20080108 00:00:00:000,0.74645,0.7466,0.74205,0.74575,850842.081475522
20080109 00:00:00:000,0.74575,0.7503,0.74455,0.749,760343.535291687
20080110 00:00:00:000,0.749,0.75655,0.74605,0.7543,1526377.41299723
20080111 00:00:00:000,0.7543,0.7586,0.75355,0.75494,2419813.3005687
20080113 00:00:00:000,0.75481,0.7561,0.75461,0.7555,152770.799969003
20080114 00:00:00:000,0.7555,0.7612,0.7552,0.7607,2699863.54912564
20080115 00:00:00:000,0.76075,0.76135,0.7527,0.75585,2775458.68150989
20080116 00:00:00:000,0.75585,0.75755,0.74385,0.74695,3694470.6744115
20080117 00:00:00:000,0.74695,0.7481,0.7415,0.743,1847997.96685154
20080118 00:00:00:000,0.743,0.7495,0.7417,0.74725,1011511.64812311
20080120 00:00:00:000,0.74571,0.746,0.7452,0.74565,18732.5999637544
20080121 00:00:00:000,0.74565,0.7463,0.74205,0.74305,1133748.80584066
20080122 00:00:00:000,0.74305,0.74755,0.7396,0.7469,1893208.464181
20080123 00:00:00:000,0.7469,0.7485,0.7441,0.74735,1382347.00262921
20080124 00:00:00:000,0.7473,0.749,0.7459,0.7468,1332020.56773131
20080125 00:00:00:000,0.74675,0.748,0.73958,0.73991,2032108.75136275
20080127 00:00:00:000,0.7398,0.7409,0.739,0.7394,83094.6002808437
20080128 00:00:00:000,0.7394,0.7459,0.7394,0.7445,1860613.11079469
20080129 00:00:00:000,0.7449,0.7451,0.7416,0.7422,1217552.34816848
20080130 00:00:00:000,0.7422,0.7482,0.7412,0.7474,1770450.46327754
20080131 00:00:00:000,0.7474,0.74925,0.74445,0.7466,5594985.2908896
20080201 00:00:00:000,0.7466,0.7544,0.7458,0.7526,4248884.59050735
20080203 00:00:00:000,0.75305,0.7537,0.7525,0.7531,98785.9002370834
20080204 00:00:00:000,0.7531,0.7543,0.7488,0.75065,1050999.79892421
20080205 00:00:00:000,0.75065,0.75165,0.7445,0.7448,548607.548731908
20080206 00:00:00:000,0.7448,0.7482,0.744,0.7452,554696.01366546
20080207 00:00:00:000,0.7452,0.75025,0.74445,0.74515,486276.151123416
20080208 00:00:00:000,0.74515,0.74655,0.7425,0.74481,327942.902999472
20080210 00:00:00:000,0.74583,0.7463,0.74543,0.74625,14322.1000526994
20080211 00:00:00:000,0.74625,0.7508,0.74355,0.74375,124546.498771587
20080212 00:00:00:000,0.74375,0.7462,0.7431,0.7439,412385.532270096
20080213 00:00:00:000,0.7439,0.7449,0.7413,0.74175,304832.400977053
20080214 00:00:00:000,0.74175,0.7437,0.74035,0.74335,170673.160668235
20080215 00:00:00:000,0.74335,0.74915,0.7429,0.74808,282550.932998749
20080217 00:00:00:000,0.74982,0.74984,0.7491,0.74915,98921.9999485612
20080218 00:00:00:000,0.74915,0.7521,0.7478,0.7509,376804.019613191
20080219 00:00:00:000,0.7509,0.7569,0.7508,0.75595,444081.327546217
20080220 00:00:00:000,0.75595,0.7579,0.75315,0.7578,1747674.77933576
20080221 00:00:00:000,0.7578,0.75805,0.7518,0.7543,323731.002879228
20080222 00:00:00:000,0.7543,0.75525,0.7522,0.75357,306688.745240677
20080224 00:00:00:000,0.75326,0.7536,0.75289,0.75325,19861.500236392
20080225 00:00:00:000,0.75325,0.75545,0.75235,0.7543,567971.953678556
20080226 00:00:00:000,0.7543,0.7566,0.75145,0.7545,1041019.47621618
20080227 00:00:00:000,0.7545,0.7638,0.7537,0.76225,2417245.02918785
20080228 00:00:00:000,0.76225,0.7643,0.76095,0.76355,2830940.94807686
20080229 00:00:00:000,0.76355,0.7678,0.76245,0.76279,1867971.37170651
20080302 00:00:00:000,0.7638,0.7665,0.76361,0.76585,18998.1401044279
20080303 00:00:00:000,0.76585,0.7677,0.7634,0.76595,2092089.54600405
20080304 00:00:00:000,0.76595,0.7674,0.7637,0.7659,1945172.25625935
20080305 00:00:00:000,0.7659,0.7688,0.7645,0.7671,2406884.71646391
20080306 00:00:00:000,0.7671,0.76915,0.76365,0.76455,778634.751477931
20080307 00:00:00:000,0.76455,0.76575,0.76,0.76235,747263.700873561
20080309 00:00:00:000,0.76229,0.76275,0.76129,0.76235,154148.19929257
20080310 00:00:00:000,0.76235,0.7654,0.75955,0.7635,1047178.97618165
20080311 00:00:00:000,0.7635,0.7678,0.76345,0.76465,906634.551065266
20080312 00:00:00:000,0.76465,0.768,0.7627,0.76655,2367171.96437335
20080313 00:00:00:000,0.76655,0.7695,0.7642,0.7687,1045519.93601587
20080314 00:00:00:000,0.7687,0.7756,0.7665,0.7756,1862795.04430774
20080316 00:00:00:000,0.77675,0.7807,0.77647,0.7797,180274.300450563
20080317 00:00:00:000,0.77975,0.7911,0.7791,0.7882,1786833.36377735
